path,name,class,plant,disease,width,height,mode,mean_r,mean_g,mean_b,brightness,contrast,sharpness,file_size(KB)
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,110.66239929199219,130.1830291748047,119.86273193359375,123.14334106445312,39.137341868534634,12.194015502929688,9616
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,84.16026306152344,97.55577087402344,103.14263916015625,94.17900085449219,26.618653633633187,14.173828125,10108
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,92.53596496582031,125.72633361816406,116.02525329589844,114.68653869628906,30.973890954222778,20.961883544921875,12005
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,129.89675903320312,125.64872741699219,114.40975952148438,125.65411376953125,58.03942602499852,49.526275634765625,19474
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,86.70845031738281,101.71145629882812,101.433349609375,97.19975280761719,31.854882695979875,11.702468872070312,8897
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,84.96150207519531,97.83607482910156,72.09921264648438,91.05731201171875,48.2123805209754,12.163650512695312,10070
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,82.56649780273438,88.97444152832031,98.96553039550781,88.17123413085938,35.72771616420407,30.939193725585938,14135
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,114.33735656738281,126.97006225585938,98.86256408691406,119.98858642578125,25.458881650350897,14.420059204101562,9774
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,125.38752746582031,134.5205078125,124.19427490234375,130.60267639160156,46.30329901895843,60.73381042480469,22974
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,84.95843505859375,92.61297607421875,85.363037109375,89.52288818359375,36.605131243551284,39.29051208496094,16390
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,96.65458679199219,112.66282653808594,115.72915649414062,108.22261047363281,31.40627753219996,23.170745849609375,12286
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,135.9578094482422,151.8327178955078,123.35769653320312,143.84681701660156,34.905861207939466,35.36882019042969,16055
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,105.55662536621094,121.18832397460938,103.24783325195312,114.48890686035156,29.941691365470074,9.967742919921875,8334
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,111.75927734375,115.23757934570312,111.10369873046875,113.75682067871094,51.11739786440668,41.39213562011719,17063
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,81.62539672851562,85.10966491699219,72.04353332519531,82.57804870605469,33.92197233693242,35.65086364746094,15457
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,87.8653564453125,110.96054077148438,125.10047912597656,105.64802551269531,23.28276526256729,19.289138793945312,11154
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,89.65791320800781,104.66319274902344,99.34573364257812,99.57850646972656,31.9502477320977,28.374496459960938,13757
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,106.35163879394531,108.81707763671875,130.91172790527344,110.61473083496094,20.81690921808766,19.610061645507812,11338
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,93.13003540039062,107.89422607421875,99.97947692871094,102.61451721191406,41.19254450113633,32.21681213378906,14693
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG,0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,100.30714416503906,115.32974243164062,102.46501159667969,109.38523864746094,34.53087591706213,36.408477783203125,16075
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,89.55442810058594,105.21192932128906,102.29331970214844,100.18960571289062,21.57969124737058,16.375717163085938,9784
